name,age,net_worth_million_usd,industry,industries,country,self_made,gender
Sulaiman Al Muhaidib,71.0,2411.63,Diversified,Diversified,Saudi Arabia,False,M
James Dinan,66.0,2409.0,Finance & Investments,Finance & Investments,United States,True,M
Jannie Mouton & family,79.0,2408.54,Finance & Investments,Finance & Investments,South Africa,True,M
Chu Lam Yiu,56.0,2408.39,Manufacturing,Manufacturing,Hong Kong,True,F
Ioannis Papalekas,49.0,2404.65,Real Estate,Real Estate,Greece,True,M
Mika Anttonen,59.0,2392.11,Energy,Energy,Finland,True,M
Shlomo Kramer,60.0,2391.0,Technology,Technology,Israel,True,M
David Dean Halbert,70.0,2389.62,Healthcare,Healthcare,United States,True,M
Zygmunt Solorz & family,69.0,2385.62,Media & Entertainment,Media & Entertainment,Poland,True,M
Madeleine Grogg,,2385.22,Healthcare,Healthcare,Switzerland,False,F
Koo Bon-neung,77.0,2382.74,Technology,Technology,South Korea,False,M
Yoo Jung-hyun,57.0,2378.14,Media & Entertainment,Media & Entertainment,South Korea,False,F
Zhou Hongyi,55.0,2377.29,Technology,Technology,China,True,M
John de Mol,71.0,2377.01,Media & Entertainment,Media & Entertainment,Netherlands,True,M
Steven Schonfeld,66.0,2377.0,Finance & Investments,Finance & Investments,United States,True,M
Bhadresh Shah,74.0,2376.55,Manufacturing,Manufacturing,India,True,M
Wang Jianfeng & family,,2375.16,Automotive,Automotive,China,True,M
Kie Chie Wong,78.0,2373.72,Metals & Mining,Metals & Mining,Malaysia,False,M
Renato dos Santos,48.0,2373.42,Finance & Investments,Finance & Investments,Brazil,True,M
Sylvia Stroeher,70.0,2373.0,Fashion & Retail,Fashion & Retail,Germany,False,F
Song Chi-hyung,47.0,2371.93,Finance & Investments,Finance & Investments,South Korea,True,M
Ma Bin & family,55.0,2369.94,Manufacturing,Manufacturing,China,True,M
Hans Jakob Limbach,78.0,2369.71,Healthcare,Healthcare,Germany,True,M
Gao Xingjiang,62.0,2364.82,Manufacturing,Manufacturing,China,True,M
Fred Ehrsam,37.0,2360.7,Finance & Investments,Finance & Investments,United States,True,M
Shi Yonghong & family,57.0,2356.13,Food & Beverage,Food & Beverage,China,True,M
F.C. Tseng,,2354.8,Technology,Technology,Taiwan,True,M
Wei Huang,66.0,2354.49,Real Estate,Real Estate,China,True,M
Igor Makarov,64.0,2351.95,Energy,Energy,Cyprus,True,M
Rishad Naoroji,74.0,2351.94,Diversified,Diversified,India,False,M
Steve Case,67.0,2350.89,Technology,Technology,United States,True,M
Manuel Villar,76.0,2348.89,Real Estate,Real Estate,Philippines,True,M
Michael Ying,76.0,2348.44,Fashion & Retail,Fashion & Retail,Hong Kong,True,M
Lee Dong-chae,66.0,2347.4,Manufacturing,Manufacturing,South Korea,True,M
Joe Lacob,70.0,2344.0,Sports,Sports,United States,True,M
Cho Jyh-jer,70.0,2343.42,Technology,Technology,Taiwan,True,M
Enrique Coppel Luken,78.0,2336.63,Fashion & Retail,Fashion & Retail,Mexico,False,M
Du Jinhao,72.0,2336.54,Healthcare,Healthcare,China,True,M
Christopher Kwok,40.0,2333.98,Real Estate,Real Estate,Hong Kong,False,M
Christiane Knauf,54.0,2331.15,Manufacturing,Manufacturing,Germany,False,F
Christine Knauf,70.0,2331.15,Construction & Engineering,Construction & Engineering,Germany,False,F
Karl Knauf,69.0,2331.15,Manufacturing,Manufacturing,Germany,False,M
Edward Kwok,45.0,2330.8,Real Estate,Real Estate,Hong Kong,False,M
Todd Wagner,65.0,2330.73,Media & Entertainment,Media & Entertainment,United States,True,M
Leslie Alexander,82.0,2329.42,Sports,Sports,United States,True,M
Wei Ing-Chou,72.0,2328.65,Food & Beverage,Food & Beverage,Taiwan,True,M
Wei Yin-Chun,69.0,2328.65,Food & Beverage,Food & Beverage,Taiwan,True,M
Wei Yin-Heng,67.0,2328.65,Food & Beverage,Food & Beverage,Taiwan,True,M
Wei Ying-Chiao,71.0,2328.65,Food & Beverage,Food & Beverage,Taiwan,True,M
David Fong,68.0,2326.0,Real Estate,Real Estate,Hong Kong,False,M
Daniel Lubetzky,57.0,2324.0,Food & Beverage,Food & Beverage,United States,True,M
Dermot Desmond,75.0,2321.75,Finance & Investments,Finance & Investments,Ireland,True,M
Ke Zunhong & family,71.0,2320.56,Healthcare,Healthcare,China,True,M
Wu Lanlan & family,52.0,2320.51,Manufacturing,Manufacturing,China,True,F
Nerio Alessandri,65.0,2319.68,Manufacturing,Manufacturing,Italy,True,M
Steven Witkoff & family,69.0,2319.38,Real Estate,Real Estate,United States,True,M
Acharya Balkrishna,53.0,2318.83,Food & Beverage,Food & Beverage,India,True,M
Kevin Systrom,42.0,2318.78,Technology,Technology,United States,True,M
Abhay Soi,52.0,2318.58,Healthcare,Healthcare,India,True,M
Ion Tiriac,86.0,2317.61,Finance & Investments,Finance & Investments,Romania,True,M
Guo Guangchang,59.0,2317.52,Diversified,Diversified,China,True,M
Sheryl Sandberg,56.0,2314.1,Technology,Technology,United States,True,F
Bent Jensen & Family,74.0,2313.4,Manufacturing,Manufacturing,Denmark,False,M
Vivek Ramaswamy,40.0,2313.22,Healthcare,Healthcare,United States,True,M
Sanjeev Bikhchandani,62.0,2312.67,Technology,Technology,India,True,M
Thomas Dundon,54.0,2310.0,Sports,Sports,United States,True,M
Carlos March Delgado,80.0,2309.43,Finance & Investments,Finance & Investments,Spain,False,M
Bill Malhotra,76.0,2307.88,Real Estate,Real Estate,Canada,True,M
Edward Lampert,63.0,2307.83,Finance & Investments,Finance & Investments,United States,True,M
Alexander Ponomarenko,61.0,2307.83,Logistics,Logistics,Russia,True,M
Shu Ping,,2305.28,Food & Beverage,Food & Beverage,Singapore,True,F
Li Gaiteng,54.0,2304.69,Manufacturing,Manufacturing,China,True,M
Sunil Vachani,57.0,2303.34,Manufacturing,Manufacturing,India,True,M
Salil Singhal,78.0,2303.1,Manufacturing,Manufacturing,India,False,M
Phillip Frost,89.0,2301.38,Healthcare,Healthcare,United States,True,M
Fiona Geminder,61.0,2300.81,Manufacturing,Manufacturing,Australia,False,F
David Grain,63.0,2300.0,Finance & Investments,Finance & Investments,United States,True,M
Luciano Hang,63.0,2294.83,Fashion & Retail,Fashion & Retail,Brazil,True,M
Brian Hill,65.0,2294.81,Fashion & Retail,Fashion & Retail,Canada,True,M
Rafique Malik,75.0,2292.89,Fashion & Retail,Fashion & Retail,India,False,M
Dong Wei,55.0,2292.11,Healthcare,Healthcare,China,True,M
Phongthep Chiaravanont,74.0,2291.8,Diversified,Diversified,Thailand,False,M
Heikki Kyostila,80.0,2291.66,Healthcare,Healthcare,Finland,True,M
David Paul,59.0,2291.39,Healthcare,Healthcare,United States,True,M
Bob Ell,81.0,2290.13,Real Estate,Real Estate,Australia,True,M
Jerry Reinsdorf,90.0,2290.0,Sports,Sports,United States,True,M
Rita Tong Liu,77.0,2288.05,Real Estate,Real Estate,Hong Kong,True,F
Sergei Sudarikov,54.0,2287.06,Finance & Investments,Finance & Investments,Russia,True,M
Liang Qin & family,54.0,2286.54,Technology,Technology,China,True,F
Li Zhiyuan,71.0,2285.19,Manufacturing,Manufacturing,China,True,M
Christopher Rokos,55.0,2285.0,Finance & Investments,Finance & Investments,United Kingdom,True,M
Yusuf Hamied,89.0,2284.8,Healthcare,Healthcare,India,False,M
Joaquin del Pino y Calvo-Sotelo,65.0,2283.77,Construction & Engineering,Construction & Engineering,Spain,False,M
Daniel Hirschfeld,84.0,2283.25,Fashion & Retail,Fashion & Retail,United States,False,M
David Adelman,54.0,2282.0,Real Estate,Real Estate,United States,True,M
Matthew Pritzker,43.0,2280.45,Diversified,Diversified,United States,False,M
Ami Luttwak,42.0,2280.0,Technology,Technology,Israel,True,M
Assaf Rappaport,42.0,2280.0,Technology,Technology,Israel,True,M
Roy Reznik,37.0,2280.0,Technology,Technology,Israel,True,M
Yinon Costica,43.0,2280.0,Technology,Technology,Israel,True,M
Shigenobu Nagamori,81.0,2279.55,Manufacturing,Manufacturing,Japan,True,M
Chung Yong-jin,57.0,2277.33,Fashion & Retail,Fashion & Retail,South Korea,False,M
Jyoti Bansal,48.0,2277.0,Technology,Technology,United States,True,M
Stefan Soloviev,50.0,2274.5,Real Estate,Real Estate,United States,False,M
Edwin Leong,74.0,2274.38,Real Estate,Real Estate,Hong Kong,True,M
Arnout Schuijff,58.0,2272.81,Technology,Technology,Netherlands,True,M
Ji Wei & family,69.0,2272.72,Manufacturing,Manufacturing,China,True,M
Ho Hung Anh,55.0,2272.61,Finance & Investments,Finance & Investments,Vietnam,True,M
Manas Chiaravanond,70.0,2270.96,Diversified,Diversified,Thailand,False,M
Fan Xiulian,62.0,2270.77,Healthcare,Healthcare,China,True,F
Bahaa Hariri,60.0,2270.53,Real Estate,Real Estate,Lebanon,False,M
Somsri Lamsam,70.0,2270.37,Diversified,Diversified,Thailand,False,F
Basudeo Singh,85.0,2269.18,Healthcare,Healthcare,India,True,M
Jupally Rameshwar Rao,70.0,2267.21,Real Estate,Real Estate,India,True,M
Gu Wei,61.0,2262.67,Manufacturing,Manufacturing,China,True,M
Ron Sim,67.0,2262.61,Fashion & Retail,Fashion & Retail,Singapore,True,M
Akio Nitori,82.0,2260.09,Fashion & Retail,Fashion & Retail,Japan,True,M
Leonard Abess,77.0,2259.91,Finance & Investments,Finance & Investments,United States,False,M
Sabrina Benetton,52.0,2259.6,Fashion & Retail,Fashion & Retail,Italy,False,F
Liu Chengyu & family,63.0,2256.63,Manufacturing,Manufacturing,China,True,M
Huang Jiangji,,2255.9,Technology,Technology,Hong Kong,True,M
Inder Jaisinghani,73.0,2254.56,Manufacturing,Manufacturing,India,True,M
Xiang Guangming & family,62.0,2254.05,Manufacturing,Manufacturing,China,True,M
Marcelo Claure,55.0,2252.62,Telecom,Telecom,United States,True,M
Alicia Koplowitz,72.0,2251.2,Finance & Investments,Finance & Investments,Spain,False,F
Prathip Chiravanond,77.0,2250.2,Diversified,Diversified,Thailand,False,M
Wong Luen Hei,64.0,2248.28,Manufacturing,Manufacturing,China,True,M
Ed Craven,30.0,2246.29,Gambling & Casinos,Gambling & Casinos,Australia,True,M
Christian Birkenstock,53.0,2245.77,Fashion & Retail,Fashion & Retail,Germany,False,M
Constantinos Martinos & family,73.0,2245.18,Logistics,Logistics,Greece,True,M
Ryan Horton,53.0,2244.72,Real Estate,Real Estate,United States,False,M
Katsumi Tada,80.0,2242.89,Real Estate,Real Estate,Japan,True,M
Clayton Zekelman,57.0,2242.0,Manufacturing,Manufacturing,Canada,False,M
Drorit Wertheim,70.0,2241.73,Food & Beverage,Food & Beverage,Israel,False,F
Cynthia Helena Grossman Fleishman,71.0,2239.68,Food & Beverage,Food & Beverage,Mexico,False,F
Ajay Bhardwaj,65.0,2239.45,Healthcare,Healthcare,India,True,M
Reagan Horton,50.0,2239.29,Real Estate,Real Estate,United States,False,M
Xue Jiping,75.0,2235.49,Telecom,Telecom,China,True,M
Charles Edelstenne & family,88.0,2235.44,Manufacturing,Manufacturing,France,True,M
Djoko Susanto,76.0,2234.09,Fashion & Retail,Fashion & Retail,Indonesia,True,M
Tibor Veres,64.0,2233.9,Diversified,Diversified,Hungary,True,M
Abdullah Al Othaim,69.0,2231.52,Fashion & Retail,Fashion & Retail,Saudi Arabia,False,M
Sergei Studennikov & family,59.0,2230.23,Fashion & Retail,Fashion & Retail,Russia,True,M
