rank,person_name,gender,age,country,iso3,wb_country_name,state,city,net_worth_usd_m,net_worth_usd,source_of_wealth,industries,primary_industry,self_made,wealth_gdp_ratio_pct,wealth_per_citizen_usd,wealth_country_share_pct,sector_dominance_score,gdp_usd,population,gdp_year,forbes_uri,scrape_timestamp,birth_year
110,Harry Triguboff,M,93.0,Australia,AUS,Australia,,Sydney,23162.1,23162101000.0,Real estate,Real Estate,Real Estate,True,1.318259,851.6476,9.7272,16.13,1757022451652.83,27196812.0,2024.0,harry-triguboff,2026-04-10 21:32 UTC,1933.0
111,Steve Cohen,M,69.0,United States,USA,United States,Connecticut,Greenwich,22978.74,22978740000.0,Hedge funds,Finance & Investments,Finance & Investments,True,0.079923,67.5625,0.2754,23.35,28750956130731.2,340110988.0,2024.0,steve-cohen,2026-04-10 21:32 UTC,1956.0
112,Henry Nicholas III,M,66.0,United States,USA,United States,California,Newport Coast,22966.87,22966873000.0,Semiconductors,Technology,Technology,True,0.079882,67.5276,0.2753,23.35,28750956130731.2,340110988.0,2024.0,henry-nicholas-iii,2026-04-10 21:32 UTC,1959.0
113,Rupert Murdoch & family,M,95.0,United States,USA,United States,New York,New York,22794.18,22794177000.0,"Newspapers, TV network",Media & Entertainment,Media & Entertainment,False,0.079281,67.0198,0.2732,23.35,28750956130731.2,340110988.0,2024.0,rupert-murdoch,2026-04-10 21:32 UTC,1931.0
114,Diane Hendricks,F,79.0,United States,USA,United States,Wisconsin,Afton,22332.9,22332900000.0,Building supplies,Construction & Engineering,Construction & Engineering,True,0.077677,65.6636,0.2677,23.35,28750956130731.2,340110988.0,2024.0,diane-hendricks,2026-04-10 21:32 UTC,1947.0
115,Stefan Persson,M,78.0,Sweden,SWE,Sweden,,Stockholm,22292.64,22292637000.0,H&M,Fashion & Retail,Fashion & Retail,False,3.692575,2109.106,10.1261,14.16,603715224265.798,10569709.0,2024.0,stefan-persson,2026-04-10 21:32 UTC,1947.0
116,Stanley Kroenke,M,78.0,United States,USA,United States,Texas,Electra,22238.5,22238497000.0,"Sports, real estate",Sports,Sports,True,0.077349,65.386,0.2666,23.35,28750956130731.2,340110988.0,2024.0,stanley-kroenke,2026-04-10 21:32 UTC,1947.0
117,Todd Graves,M,54.0,United States,USA,United States,Louisiana,Baton Rouge,21983.0,21983000000.0,Fast food,Food & Beverage,Food & Beverage,True,0.07646,64.6348,0.2635,23.35,28750956130731.2,340110988.0,2024.0,todd-graves,2026-04-10 21:32 UTC,1972.0
118,Yu Yong,M,65.0,China,CHN,China,Shanghai,Shanghai,21840.41,21840406000.0,Mining,Finance & Investments,Finance & Investments,True,0.116521,15.5009,1.0231,15.26,18743803170827.2,1408975000.0,2024.0,yu-yong,2026-04-10 21:32 UTC,1961.0
119,Eric Li,M,62.0,China,CHN,China,Zhejiang,Hangzhou,21753.08,21753082000.0,Automobiles,Automotive,Automotive,True,0.116055,15.4389,1.019,15.26,18743803170827.2,1408975000.0,2024.0,eric-li,2026-04-10 21:32 UTC,1963.0
120,Vinod Adani,M,77.0,Cyprus,CYP,Cyprus,,Dubai,21564.64,21564643000.0,"Infrastructure, commodities",Diversified,Diversified,True,57.300147,15876.4108,38.5392,30.33,37634533331.8902,1358282.0,2024.0,vinod-adani,2026-04-10 21:32 UTC,1949.0
121,Ernest Garcia II,M,68.0,United States,USA,United States,Arizona,Tempe,21555.48,21555482000.0,Used cars,Automotive,Automotive,True,0.074973,63.3778,0.2584,23.35,28750956130731.2,340110988.0,2024.0,ernest-garcia-ii,2026-04-10 21:32 UTC,1957.0
