name,age,net_worth_million_usd,industries,country,self_made,gender
Qian Ying,60,1236.69,Food & Beverage,China,True,F
Sanjay Gajendra,51,1236.41,Technology,United States,True,M
Boris Nuraliev,67,1235.93,Technology,Russia,True,M
Ahmed Afif Topbas,84,1235.49,Fashion & Retail,Turkey,False,M
Clemens Toennies,69,1233.93,Food & Beverage,Germany,True,M
Daniel Hager,54,1233.93,Construction & Engineering,Germany,False,M
Philip & family Hager,55,1233.93,Construction & Engineering,Germany,False,M
Robert Toennies,47,1233.93,Food & Beverage,Germany,False,M
Daniel Feffer,66,1232.56,Manufacturing,Brazil,False,M
Cao Yuhua & family,71,1231.82,Automotive,China,True,M
Dorle Hager,61,1231.6,Construction & Engineering,Germany,False,F
Evi Hager,63,1231.6,Construction & Engineering,Germany,False,F
Peter Hager,65,1231.6,Construction & Engineering,Germany,False,M
Hartati Murdaya,79,1229.17,Diversified,Indonesia,True,F
Yuan Jiandong & family,65,1228.83,Healthcare,China,True,M
Ibrahim Erdemoglu,63,1228.19,Manufacturing,Turkey,True,M
Chen Guodong,60,1227.87,Fashion & Retail,China,True,M
Cheah Cheng Hye,72,1227.16,Finance & Investments,Malaysia,True,M
Nigel Austin,55,1227.12,Fashion & Retail,Australia,True,M
Zhou Zongwen & family,69,1227.0,Fashion & Retail,China,True,M
Eric Ya Shen,55,1226.57,Technology,China,True,M
Ben Francis,33,1226.19,Fashion & Retail,United Kingdom,True,M
Isabel-Ulrike Hager,40,1225.75,Construction & Engineering,Germany,False,F
Tony Townley,63,1224.8,Food & Beverage,United States,True,M
Huang Jian,59,1224.57,Manufacturing,China,True,M
J. Christopher Flowers,68,1224.37,Finance & Investments,United States,True,M
Jeffrey Lorberbaum,71,1224.23,Manufacturing,United States,False,M
Kim Taek-jin,59,1222.97,Media & Entertainment,South Korea,True,M
Kenzo Tsujimoto,85,1222.64,Media & Entertainment,Japan,True,M
Pat Neal,77,1222.51,Real Estate,United States,True,M
Oleg Misevra,58,1221.67,Metals & Mining,Russia,True,M
Michael Kum,81,1221.51,Real Estate,Singapore,True,M
Simona Giorgetta,48,1221.5,Construction & Engineering,Italy,False,F
Nicholas Woodman,50,1220.28,Technology,United States,True,M
Gary Tharaldson,80,1220.1,Real Estate,United States,True,M
Ruben Feffer,65,1218.86,Manufacturing,Brazil,False,M
Jacques Merceron-Vicat & family,88,1218.26,Construction & Engineering,France,False,M
Kim Hyoung-nyon,50,1218.13,Finance & Investments,South Korea,True,M
Paul Sciarra,45,1216.95,Technology,United States,True,M
J.K. Rowling,60,1216.0,Media & Entertainment,United Kingdom,True,F
Jeff Sprecher,71,1215.43,Finance & Investments,United States,True,M
Xu Wanmao,81,1215.02,Service,China,True,M
Shen Jinhua,59,1214.43,Fashion & Retail,China,True,M
Alexander Mamut & family,66,1212.77,Finance & Investments,Russia,True,M
Huang Shanbing & family,69,1212.77,Technology,China,True,M
Ye Shanqun & family,77,1212.46,Manufacturing,China,True,M
Tan Lili,65,1212.42,Food & Beverage,China,True,F
Rui Chen,48,1212.3,Media & Entertainment,China,True,M
Sheila Johnson,77,1211.98,Media & Entertainment,United States,True,F
John Lim,69,1211.84,Real Estate,Singapore,True,M
Zhu Weisong,44,1211.45,Media & Entertainment,China,True,M
Vera Rechulski Santo Domingo,77,1211.28,Food & Beverage,Brazil,False,F
Lia Maria Aguiar,88,1211.2,Finance & Investments,Brazil,False,F
David Humphreys & family,69,1209.93,Manufacturing,United States,False,M
Sarah Humphreys Atkins & family,68,1209.93,Manufacturing,United States,False,F
Giuliana Caprotti,85,1209.88,Food & Beverage,Italy,False,F
Marina Caprotti,48,1209.88,Food & Beverage,Italy,False,F
Wang Chou-hsiong,85,1209.8,Manufacturing,Taiwan,True,M
Jonas Kamprad,60,1208.38,Finance & Investments,Sweden,False,M
Mathias Kamprad,56,1208.38,Finance & Investments,Sweden,False,M
Peter Kamprad,62,1208.38,Finance & Investments,Sweden,False,M
Lin Zhijun,50,1207.85,Healthcare,China,True,M
Pedro Grendene Bartelle,76,1207.71,Fashion & Retail,Brazil,True,M
Maxim Tebar,25,1206.92,Manufacturing,Germany,False,M
Jean-Marc Chapus,67,1206.5,Finance & Investments,United States,True,M
Zhong Huaijun,61,1206.01,Food & Beverage,China,True,M
Bastian Nominacher,41,1206.0,Technology,Germany,True,M
Andrew MacMillan,38,1205.68,Food & Beverage,United States,False,M
Anne Pedrero,57,1205.68,Food & Beverage,United States,False,F
Christopher MacMillan,40,1205.68,Food & Beverage,United States,False,M
Daniel MacMillan,43,1205.68,Food & Beverage,United States,False,M
David MacMillan,71,1205.68,Food & Beverage,United States,False,M
Donald MacMillan,56,1205.68,Food & Beverage,United States,False,M
John H. MacMillan IV IV,73,1205.68,Food & Beverage,United States,False,M
Kate MacMillan Reed,68,1205.68,Food & Beverage,United States,False,F
Sandra MacMillan Kirkpatrick,53,1205.68,Food & Beverage,United States,False,F
Wang Wenyin,58,1205.47,Metals & Mining,China,True,M
James Truchard,82,1205.37,Technology,United States,True,M
Junro Ito,67,1204.31,Fashion & Retail,Japan,False,M
Yvonne Lo,81,1203.81,Fashion & Retail,Hong Kong,False,F
Jeff Tangney,53,1203.23,Healthcare,United States,True,M
Liu Xiucai & family,69,1203.11,Manufacturing,United States,True,M
Kenneth Lo,87,1202.24,Fashion & Retail,United Kingdom,False,M
Ken Kendrick,82,1202.19,Sports,United States,True,M
Hajime Satomi,84,1201.22,Gambling & Casinos,Japan,True,M
Jorge Feffer & family,61,1201.09,Manufacturing,Brazil,False,M
Hyuntae Kim,50,1200.25,Healthcare,South Korea,True,M
Danilo Iervolino,48,1199.03,Technology,Italy,True,M
Kochouseph Chittilappilly,75,1198.4,Manufacturing,India,True,M
Leyla Tara Suyabatmaz,59,1198.17,Construction & Engineering,Turkey,False,F
Yasemin Zeynep Keyman,65,1198.17,Construction & Engineering,Turkey,False,F
Michael Dunlap & family,62,1197.45,Finance & Investments,United States,True,M
Michael Gans & family,62,1195.49,Diversified,Luxembourg,False,M
Sanjeev Shah,62,1194.94,Food & Beverage,India,False,M
Wen Pengcheng & family,63,1194.39,Food & Beverage,China,True,M
Axel Oberwelland & family,59,1193.16,Food & Beverage,Germany,False,M
Edouard Carmignac,78,1193.05,Finance & Investments,France,True,M
Zhang Xin,60,1191.59,Real Estate,China,True,F
Tang Ye,44,1190.16,Technology,China,True,M
Daniela Grogg,65,1190.11,Healthcare,Switzerland,False,F
Nicole Grogg-Hotzer & family,53,1190.11,Healthcare,Switzerland,False,F
Su Qingcan,57,1189.9,Healthcare,China,True,M
Thomas Sandell,65,1189.62,Finance & Investments,Sweden,True,M
Lee Ho-jin,63,1188.72,Diversified,South Korea,False,M
Jiang Xuefei & family,56,1188.26,Technology,China,True,M
Benjamin Zhengmin Pan & family,56,1187.05,Technology,China,True,M
Gao Yi & family,57,1187.01,Healthcare,China,True,M
Clelia Haji-Ioannou,55,1185.42,Service,Cyprus,False,F
Hisako Yamamoto,65,1185.27,Fashion & Retail,Japan,False,F
Yasuhisa Ito,65,1185.27,Fashion & Retail,Japan,False,M
Jeffrey Michael & family,69,1184.43,Technology,United States,True,M
Martin Klenk,39,1183.0,Technology,Germany,True,M
Ivan Müller Botelho,92,1182.65,Energy,Brazil,False,M
Subbamma Jasti,92,1180.0,Healthcare,India,False,F
Charlotte Goh,36,1179.7,Manufacturing,Singapore,False,F
Henrietta Goh,33,1179.7,Manufacturing,Singapore,False,F
Johan Lavoo,34,1179.7,Manufacturing,Singapore,False,M
Martin Lavoo,39,1179.7,Manufacturing,Netherlands,False,M
Victoria Goh,30,1179.7,Manufacturing,Singapore,False,F
Madeleine Olsson Eriksson,81,1177.37,Diversified,Sweden,False,F
Wu Jinzi,63,1176.72,Healthcare,United States,True,M
Xu Jiangnan,64,1176.32,Healthcare,China,True,M
Manny Stul,76,1176.15,Manufacturing,Australia,True,M
Christian Angermayer,47,1175.33,Finance & Investments,Germany,True,M
Bruce Springsteen,76,1174.5,Media & Entertainment,United States,True,M
Christian Herz,54,1173.17,Finance & Investments,Germany,False,M
Michaela Herz,51,1173.17,Finance & Investments,Germany,False,F
Sachin Bansal,44,1172.88,Fashion & Retail,India,True,M
Cheng Lili,61,1171.82,Food & Beverage,China,True,M
Alakh Pandey,34,1170.89,Technology,India,True,M
Prateek Boob,37,1170.89,Technology,India,True,M
Yasuhide Uno,62,1169.86,Technology,Japan,False,M
Xiu Laigui,71,1169.4,Healthcare,China,True,M
Lalit Keshre,44,1168.66,Finance & Investments,India,True,M
Xie Yi,41,1167.98,Manufacturing,China,True,M
Vadim Novinsky,62,1167.39,Metals & Mining,Ukraine,True,M
Gerald Engström,77,1166.88,Manufacturing,Sweden,True,M
Ceyda Lale Tara,94,1166.45,Construction & Engineering,Turkey,False,F
Qiao Zhiyong,62,1165.69,Manufacturing,China,True,M
Konstantin Nikolaev,55,1165.3,Logistics,Russia,True,M
Nikita Mishin,54,1165.3,Logistics,Russia,True,M
Amelie Voigt Trejes,20,1165.27,Manufacturing,Brazil,False,F
Felipe Voigt Trejes,23,1165.27,Manufacturing,Brazil,False,M
Pedro Voigt Trejes,23,1165.27,Manufacturing,Brazil,False,M
